sourceBrandName,approvedBrandName,approvedBrandNameKana,approvedDisplayName,hasKana,sourceCount,reviewStatus,note
ROLEX,ROLEX,ロレックス,ロレックス（ROLEX）,true,435,pending,一般的な日本語表記 / 表記ゆれ疑い: ROLEX(コピー） / 表記ゆれ確認
SEIKO,SEIKO,セイコー,セイコー（SEIKO）,true,328,pending,一般的な日本語表記 / 表記ゆれ疑い: SEIKO 懐中時計 / SEIKO 掛時計 / 表記ゆれ確認
Tag Heuer,Tag Heuer,タグ・ホイヤー,タグ・ホイヤー（Tag Heuer）,true,119,pending,一般的な日本語表記 / 表記ゆれ疑い: tag Heuer / 表記ゆれ確認
CITIZEN,CITIZEN,シチズン,シチズン（CITIZEN）,true,68,pending,一般的な日本語表記 / 表記ゆれ疑い: CITIZEN 置時計 / 表記ゆれ確認
CHANEL,CHANEL,シャネル,シャネル（CHANEL）,true,46,pending,一般的な日本語表記 / 表記ゆれ疑い: CHANEL(コピー） / 表記ゆれ確認
BREITLING,BREITLING,ブライトリング,ブライトリング（BREITLING）,true,40,pending,一般的な日本語表記 / 表記ゆれ疑い: BREITLING(コピー） / 表記ゆれ確認
HUBLOT,HUBLOT,ウブロ,ウブロ（HUBLOT）,true,17,pending,一般的な日本語表記 / 表記ゆれ疑い: HUBLOTタイプ / 表記ゆれ確認
PATEK  PHILIPPE,PATEK  PHILIPPE,パテック・フィリップ,パテック・フィリップ（PATEK  PHILIPPE）,true,11,pending,一般的な日本語表記 / スペース違い疑い / 表記ゆれ確認
LOUIS VUITON,LOUIS VUITON,ルイ・ヴィトン,ルイ・ヴィトン（LOUIS VUITON）,true,10,pending,スペルミス疑い: LOUIS VUITTON
JAEGER  LECOULTRE,JAEGER  LECOULTRE,ジャガー・ルクルト,ジャガー・ルクルト（JAEGER  LECOULTRE）,true,9,pending,一般的な日本語表記 / スペース違い疑い / 表記ゆれ確認
agnis b,agnis b,アニエスベー,アニエスベー（agnis b）,true,7,pending,スペル揺れ/スペルミス疑い: agnes b / 表記ゆれ疑い: agnis b 懐中時計 / 表記ゆれ確認
BULOVA,BULOVA,ブローバ,ブローバ（BULOVA）,true,7,pending,読み方要確認 / suggestedKana補完
