brandName,currentKanaCandidate,suggestedKana,confirmedKana,displayNameCandidate,sourceCount,confidence,needsReview,reviewPriority,reviewStatus,note
ROLEX,ロレックス,,ロレックス,ロレックス（ROLEX）,435,high,true,high,pending,一般的な日本語表記 / 表記ゆれ疑い: ROLEX(コピー） / 表記ゆれ確認
SEIKO,セイコー,,セイコー,セイコー（SEIKO）,328,high,true,high,pending,一般的な日本語表記 / 表記ゆれ疑い: SEIKO 懐中時計 / SEIKO 掛時計 / 表記ゆれ確認
Tag Heuer,タグ・ホイヤー,,タグ・ホイヤー,タグ・ホイヤー（Tag Heuer）,119,high,true,high,pending,一般的な日本語表記 / 表記ゆれ疑い: tag Heuer / 表記ゆれ確認
CITIZEN,シチズン,,シチズン,シチズン（CITIZEN）,68,high,true,high,pending,一般的な日本語表記 / 表記ゆれ疑い: CITIZEN 置時計 / 表記ゆれ確認
CHANEL,シャネル,,シャネル,シャネル（CHANEL）,46,high,true,high,pending,一般的な日本語表記 / 表記ゆれ疑い: CHANEL(コピー） / 表記ゆれ確認
BREITLING,ブライトリング,,ブライトリング,ブライトリング（BREITLING）,40,high,true,high,pending,一般的な日本語表記 / 表記ゆれ疑い: BREITLING(コピー） / 表記ゆれ確認
HUBLOT,ウブロ,,ウブロ,ウブロ（HUBLOT）,17,high,true,high,pending,一般的な日本語表記 / 表記ゆれ疑い: HUBLOTタイプ / 表記ゆれ確認
PATEK  PHILIPPE,パテック・フィリップ,,パテック・フィリップ,パテック・フィリップ（PATEK  PHILIPPE）,11,high,true,high,pending,一般的な日本語表記 / スペース違い疑い / 表記ゆれ確認
LOUIS VUITON,ルイ・ヴィトン,,ルイ・ヴィトン,ルイ・ヴィトン（LOUIS VUITON）,10,low,true,high,pending,スペルミス疑い: LOUIS VUITTON
JAEGER  LECOULTRE,ジャガー・ルクルト,,ジャガー・ルクルト,ジャガー・ルクルト（JAEGER  LECOULTRE）,9,high,true,medium,pending,一般的な日本語表記 / スペース違い疑い / 表記ゆれ確認
agnis b,アニエスベー,,アニエスベー,アニエスベー（agnis b）,7,low,true,medium,pending,スペル揺れ/スペルミス疑い: agnes b / 表記ゆれ疑い: agnis b 懐中時計 / 表記ゆれ確認
